,Id,User,Tweet,tr_tweet
0,1,babyyycattt,"wakakak iya lagi, beruntung gue punya suami ga merokok, mengurangi resiko anak terkena bronchitis, beda cerita kalo kalian childfree heehee","lol yes again, I'm lucky I have a husband who doesn't smoke, reduces the risk of children getting bronchitis, it's a different story if you are childfree heehee"
1,2,ElimPrastowo,@linabossanova Childfree with marriage or without?,@linabossanova Childfree with marriage or without?
2,3,linabossanova,"walopun gapernah post foto telanjang, tapi gw tetep mau childfree","Even though I've never posted nude photos, I still want to be childfree"
3,4,ravelax,"Girls and boys hati hati anakmu nanti diolok olok karena perbuatan tercelamu di dunia digital saat ini. Jejaknya tidak hilang. Kasian anakmu.

*pesan ini tidak berlaku untuk yg childfree","Girls and boys, be careful, your children will be made fun of because of your disgraceful actions in today's digital world. Traces are not lost. Poor son.

*This message does not apply to childfree people"
4,5,tamari_chae,"@baccaorat @kegblgnunfaedh Apa yg bener? Gitasav emg GA MAU PUNYA ANAK, gada pembenaran apapun yg bisa meragukan seorang ibu yg memilih ngelahirin dn ngerawat anaknya, itu bukan suatu kesalahan ya, jgn krna beliau skrg lusuh trus lu membenarkan childfree utk perempuan yg udh jadi ibu gitu?","@baccaorat @kegblgnunfaedh What's true? Gitasav really DOESN'T WANT TO HAVE CHILDREN, there's no justification whatsoever that can doubt a mother who chooses to give birth and take care of her child, that's not a mistake, isn't it because she's shabby now then you justify childfreeness for women who have become mothers like that?"
5,6,cicicella,@sosmedkeras Yg gini gini bikin mikir mau childfree ajaa😭😭,@sosmedkeras This one makes me think I want to be childfree😭😭
6,7,hilocokelatt,"@bintik_ Ya kan drpd pusing parenting, mending childfree kaya Bintikk","@spot_ Yes, instead of the headache of parenting, it's better to be childfree like Spots"
7,8,piipp_,"Orang-orang gatau rasanya ""terpaksa"" jadi orang tua makanya mudah bgt ngatain orang2 yang nunda punya anak bahkan childfree.","People don't know what it's like to be ""forced"" to be parents, that's why it's so easy to tell people who are delaying having children, even childfree."
8,9,kahfmus,"@banjarbase maaf ku ada pertanyaan gasan kam nder.

misalkan ad yg bisa nerima km dgn kondisi mental km yg kada stabil dan inya handak childfree km kyp?

aku serius ni","@banjarbase sorry I have a random question bro.

For example, is there someone who can accept you with your mental condition that is not stable and is you childfree?

I'm serious"
9,10,shahrizan_k,Ramai going childfree lepas baca tweet ni 😂,Many are going childfree after reading this tweet 😂
10,11,bulekcimory,@sbyfess Kalo dah nikah nnt pengennya childfree atau langsung promil?,"@sbyfess If you're married, do you want to be childfree or promote directly?"
11,12,oposan007,@Kopipait__78 Seharusnya kusno childfree,@Kopipait__78 Kusno should be childfree
12,13,akubacadotcom,Buku Childfree &amp; Happy - Victoria Tunggono https://t.co/ziL5mRYv24 https://t.co/rrV9epuUrZ,Childfree &amp; Happy - Victoria Tunggono https://t.co/ziL5mRYv24 https://t.co/rrV9epuUrZ
13,14,indarderdor,"@literarybase git4sav, ak baca bukunya jauhh sblm dia viral gara2 childfree dan aku udh ngerasa jalan ceritanya aneh, sorry🙏🏻","@literarybase git4sav, I read the book long before it went viral because of childfree and I already feel the storyline is weird, sorry🙏🏻"
14,15,TogaHQ,"Ndak usah kita bikin makin rumit persoalan ini, haha! 
Menikah itu khususnya jika sudah punya anak memang sejenis martyrdom, wkwk. Anda pikir apa? 

Jadi, jika belum siap bahwa yg terpenting dalam hidupmu bukan lagi dirimu sendiri, ndak usah dulu. Stay single atau childfree aja. 👌🏽","We don't need to make this problem even more complicated, haha!
Getting married especially if you already have children is indeed a kind of martyrdom, hahaha. what do you think?

So, if you're not ready that the most important thing in your life is no longer yourself, don't do it yet. Just stay single or childfree. 👌🏽"
